name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Sulfurous Springs",0,"Land",BR,"dmu","381",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Karplusan Forest",0,"Land",GR,"dmu","379",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Raging Ravine",0,"Land",GR,"nec","176",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Stomping Ground",0,"Land - Mountain Forest",GR,"sld","126",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Taiga",0,"Land - Mountain Forest",GR,"2ed","283",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Wooded Foothills",0,"Land",RG,"zne","4",mythic,null,Owned,Non-foil,false,,,"","",83575,false
"Horizon Canopy",0,"Land",GW,"zne","26",mythic,null,Owned,Non-foil,false,,,"","",83619,false
"Razorverge Thicket",0,"Land",GW,"som","228",rare,null,Owned,Non-foil,false,,,"","",38299,false
"Savannah",0,"Land - Forest Plains",GW,"leb","281",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Temple Garden",0,"Land - Forest Plains",GW,"grn","258",rare,null,Owned,Non-foil,false,,,"","",69929,false
"Windswept Heath",0,"Land",WG,"zne","5",mythic,null,Owned,Non-foil,false,,,"","",83577,false
"Caves of Koilos",0,"Land",BW,"apc","140",rare,null,Owned,Non-foil,false,,,"","",16070,false
"Godless Shrine",0,"Land - Plains Swamp",BW,"unf","533",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Marsh Flats",0,"Land",WB,"zen","219",rare,null,Owned,Non-foil,false,,,"","",34646,false
"Scrubland",0,"Land - Plains Swamp",BW,"cei","282",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Shambling Vent",0,"Land",BW,"clb","914",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Fiery Islet",0,"Land",RU,"mh1","238",rare,null,Owned,Non-foil,false,,,"","",72848,false
"Scalding Tarn",0,"Land",UR,"mh2","439",rare,null,Owned,Non-foil,false,,,"","",91151,false
"Shivan Reef",0,"Land",RU,"plst","C21-316",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Steam Vents",0,"Land - Island Mountain",RU,"gpt","164",rare,null,Owned,Non-foil,false,,,"","",23739,false
"Volcanic Island",0,"Land - Island Mountain",RU,"leb","287",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Bayou",0,"Land - Swamp Forest",BG,"leb","279",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Llanowar Wastes",0,"Land",BG,"c21","297",rare,null,Owned,Non-foil,false,,,"","",89699,false
"Nurturing Peatland",0,"Land",BG,"mh1","243",rare,null,Owned,Non-foil,false,,,"","",72858,false
"Overgrown Tomb",0,"Land - Swamp Forest",BG,"rtr","243",rare,null,Owned,Non-foil,false,,,"","",46507,false
"Verdant Catacombs",0,"Land",BG,"mm3","249",rare,null,Owned,Non-foil,false,,,"","",63205,false
"Arid Mesa",0,"Land",WR,"zen","211",rare,null,Owned,Non-foil,false,,,"","",34414,false
"Inspiring Vantage",0,"Land",RW,"kld","246",rare,null,Owned,Non-foil,false,,,"","",61855,false
"Plateau",0,"Land - Mountain Plains",RW,"cei","280",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Sacred Foundry",0,"Land - Mountain Plains",RW,"gtc","245",rare,null,Owned,Non-foil,false,,,"","",47815,false
"Sunbaked Canyon",0,"Land",RW,"mh1","247",rare,null,Owned,Non-foil,false,,,"","",72866,false
"Breeding Pool",0,"Land - Forest Island",GU,"sld","132",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Misty Rainforest",0,"Land",UG,"zen","220",rare,null,Owned,Non-foil,false,,,"","",34622,false
"Tropical Island",0,"Land - Forest Island",GU,"30a","279",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Waterlogged Grove",0,"Land",GU,"mh1","249",rare,null,Owned,Non-foil,false,,,"","",72870,false
"Yavimaya Coast",0,"Land",GU,"dmu","261",rare,null,Owned,Non-foil,false,,,"","",102998,false
"Spara's Headquarters",0,"Land - Forest Plains Island",GUW,"snc","293",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Raffine's Tower",0,"Land - Plains Island Swamp",BUW,"snc","254",rare,null,Owned,Non-foil,false,,,"","",98727,false
"Xander's Lounge",0,"Land - Island Swamp Mountain",BRU,"snc","260",rare,null,Owned,Non-foil,false,,,"","",98739,false
"Ziatora's Proving Ground",0,"Land - Swamp Mountain Forest",BGR,"snc","261",rare,null,Owned,Non-foil,false,,,"","",98741,false
"Jetmir's Garden",0,"Land - Mountain Forest Plains",GRW,"snc","250",rare,null,Owned,Non-foil,false,,,"","",98719,false
"Savai Triome",0,"Land - Mountain Plains Swamp",BRW,"iko","253",rare,null,Owned,Non-foil,false,,,"","",80515,false
"Ketria Triome",0,"Land - Forest Island Mountain",GRU,"iko","250",rare,null,Owned,Non-foil,false,,,"","",80509,false
"Indatha Triome",0,"Land - Plains Swamp Forest",BGW,"iko","248",rare,null,Owned,Non-foil,false,,,"","",80505,false
"Raugrin Triome",0,"Land - Island Mountain Plains",RUW,"iko","251",rare,null,Owned,Non-foil,false,,,"","",80511,false
"Zagoth Triome",0,"Land - Swamp Forest Island",BGU,"iko","259",rare,null,Owned,Non-foil,false,,,"","",80527,false
"Ancient Tomb",0,"Land",,"plst","TMP-315",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Ash Barrens",0,"Land",,"40k","265",uncommon,null,Owned,Non-foil,false,,,"","",108384,false
"Bazaar of Baghdad",0,"Land",,"arn","70",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"City of Brass",0,"Land",,"8ed","322",rare,null,Owned,Non-foil,false,,,"","",19301,false
"Dark Depths",0,"Legendary Snow Land",,"2xm","314",mythic,null,Owned,Non-foil,false,,,"","",82662,false
"Fabled Passage",0,"Land",,"sld","471",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Field of Ruin",0,"Land",,"thb","242",uncommon,null,Owned,Non-foil,false,,,"","",79608,false
"Gemstone Mine",0,"Land",,"wth","164",uncommon,null,Owned,Non-foil,false,,,"","",9411,false
"Library of Alexandria",0,"Land",,"arn","76",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Mana Confluence",0,"Land",,"jou","163",rare,null,Owned,Non-foil,false,,,"","",52120,false
"Maze of Ith",0,"Land",,"v12","10",mythic,null,Owned,Non-foil,false,,,"","",46254,false
"Mishra's Factory",0,"Land",,"a25","242",uncommon,null,Owned,Non-foil,false,,,"","",67398,false
"Mishra's Workshop",0,"Land",,"atq","81",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Mutavault",0,"Land",,"clb","903",rare,null,Owned,Non-foil,false,,,"","",101356,false
"Prismatic Vista",0,"Land",,"zne","27",mythic,null,Owned,Non-foil,false,,,"","",83621,false
"Rishadan Port",0,"Land",,"mmq","324",rare,null,Owned,Non-foil,false,,,"","",13359,false
"Strip Mine",0,"Land",,"v09","13",mythic,null,Owned,Non-foil,false,,,"","",33922,false
"Thespian's Stage",0,"Land",,"uma","253",rare,null,Owned,Non-foil,false,,,"","",70583,false
"Urza's Saga",0,"Enchantment Land - Urza's Saga",,"mh2","259",rare,null,Owned,Non-foil,false,,,"","",90899,false
"Wasteland",0,"Land",,"tmp","330",uncommon,null,Owned,Non-foil,false,,,"","",10035,false
